fecha,planta_id,categoria_id,monto_soles
2024-01-01,PN,ENE,44802.0
2024-01-01,PN,MOB,8432.0
2024-01-01,PN,INS,27366.0
2024-01-01,PN,OTR,1970.0
2024-01-02,PN,ENE,42694.0
2024-01-02,PN,MOB,8570.0
2024-01-02,PN,INS,30045.0
2024-01-02,PN,OTR,2785.0
2024-01-03,PN,ENE,44352.0
2024-01-03,PN,MOB,8320.0
2024-01-03,PN,INS,35983.0
2024-01-03,PN,OTR,3093.0
2024-01-04,PN,ENE,48567.0
2024-01-04,PN,MOB,8488.0
2024-01-04,PN,INS,31743.0
2024-01-04,PN,OTR,3387.0
2024-01-05,PN,ENE,49587.0
2024-01-05,PN,MOB,8714.0
2024-01-05,PN,INS,27031.0
2024-01-05,PN,OTR,2676.0
2024-01-06,PN,ENE,42880.0
2024-01-06,PN,MOB,8370.0
2024-01-06,PN,INS,32900.0
2024-01-06,PN,OTR,2227.0
2024-01-07,PN,ENE,44926.0
2024-01-07,PN,MOB,8537.0
2024-01-07,PN,INS,40309.0
2024-01-07,PN,OTR,1834.0
2024-01-08,PN,ENE,45967.0
2024-01-08,PN,MOB,8521.0
2024-01-08,PN,INS,33172.0
2024-01-08,PN,OTR,3378.0
2024-01-09,PN,ENE,45512.0
2024-01-09,PN,MOB,8292.0
2024-01-09,PN,INS,34003.0
2024-01-09,PN,OTR,2220.0
2024-01-10,PN,ENE,34410.0
2024-01-10,PN,MOB,8318.0
2024-01-10,PN,INS,35670.0
2024-01-10,PN,OTR,2778.0
2024-01-11,PN,ENE,45804.0
2024-01-11,PN,MOB,8622.0
2024-01-11,PN,INS,28107.0
2024-01-11,PN,OTR,2427.0
2024-01-12,PN,ENE,47750.0
2024-01-12,PN,MOB,8197.0
2024-01-12,PN,INS,30791.0
2024-01-12,PN,OTR,1635.0
2024-01-13,PN,ENE,46584.0
2024-01-13,PN,MOB,8510.0
2024-01-13,PN,INS,30765.0
2024-01-13,PN,OTR,2361.0
2024-01-14,PN,ENE,46757.0
2024-01-14,PN,MOB,8568.0
2024-01-14,PN,INS,18408.0
2024-01-14,PN,OTR,3462.0
2024-01-15,PN,ENE,40044.0
2024-01-15,PN,MOB,8324.0
2024-01-15,PN,INS,36283.0
2024-01-15,PN,OTR,2637.0
2024-01-16,PN,ENE,46138.0
2024-01-16,PN,MOB,8570.0
2024-01-16,PN,INS,26038.0
2024-01-16,PN,OTR,2122.0
2024-01-17,PN,ENE,40718.0
2024-01-17,PN,MOB,8366.0
2024-01-17,PN,INS,25993.0
2024-01-17,PN,OTR,3265.0
2024-01-18,PN,ENE,44250.0
2024-01-18,PN,MOB,8404.0
2024-01-18,PN,INS,28142.0
2024-01-18,PN,OTR,2331.0
2024-01-19,PN,ENE,43221.0
2024-01-19,PN,MOB,8591.0
2024-01-19,PN,INS,34451.0
2024-01-19,PN,OTR,1526.0
2024-01-20,PN,ENE,44638.0
2024-01-20,PN,MOB,8615.0
2024-01-20,PN,INS,29813.0
2024-01-20,PN,OTR,2416.0
2024-01-21,PN,ENE,50548.0
2024-01-21,PN,MOB,8876.0
2024-01-21,PN,INS,26740.0
2024-01-21,PN,OTR,2943.0
2024-01-22,PN,ENE,46439.0
2024-01-22,PN,MOB,8504.0
2024-01-22,PN,INS,35118.0
2024-01-22,PN,OTR,2887.0
2024-01-23,PN,ENE,42677.0
2024-01-23,PN,MOB,8184.0
2024-01-23,PN,INS,37502.0
2024-01-23,PN,OTR,3374.0
2024-01-24,PN,ENE,47926.0
2024-01-24,PN,MOB,8437.0
2024-01-24,PN,INS,36716.0
2024-01-24,PN,OTR,3266.0
2024-01-25,PN,ENE,41406.0
2024-01-25,PN,MOB,8347.0
2024-01-25,PN,INS,28096.0
2024-01-25,PN,OTR,2754.0
2024-01-26,PN,ENE,49557.0
2024-01-26,PN,MOB,8560.0
2024-01-26,PN,INS,33529.0
2024-01-26,PN,OTR,1620.0
2024-01-27,PN,ENE,38633.0
2024-01-27,PN,MOB,8413.0
2024-01-27,PN,INS,28853.0
